Date,Area,District,First_class,Marketing_mail
2020-10-24,Pacific,Santa Ana,92.36,97.43
2020-10-24,Pacific,Sierra Coastal,91.69,97.15
2020-10-24,Southern,Alabama,80.51,81.34
2020-10-24,Southern,Arkansas,89.32,93.77
2020-10-24,Southern,Dallas,91.3,94.65
2020-10-24,Southern,Ft. Worth,87.57,87.71
2020-10-24,Southern,Gulf Atlantic,78.83,86.38
2020-10-24,Southern,Houston,88.78,90.16
2020-10-24,Southern,Louisiana,91.44,81.47
2020-10-24,Southern,Mississippi,79.79,89.5
2020-10-24,Southern,Oklahoma,93.14,94.48
2020-10-24,Southern,Rio Grande,92.42,92.23
2020-10-24,Southern,South Florida,84.91,92.82
2020-10-24,Southern,Suncoast,89.04,80.05
2020-10-24,Western,Alaska,84.25,92.37
2020-10-24,Western,Arizona,90.12,88.13
2020-10-24,Western,Central Plains,88.94,96.12
2020-10-24,Western,Colorado/Wyoming,74.36,92.17
2020-10-24,Western,Dakotas,90.27,96.49
2020-10-24,Western,Hawkeye,88.96,93.61
2020-10-24,Western,Mid-Americas,89.14,90.04
2020-10-24,Western,Nevada Sierra,91.68,97.05
2020-10-24,Western,Northland,81.98,93.64
2020-10-24,Western,Portland,88.58,92.76
2020-10-24,Western,Salt Lake City,93.06,92.07
2020-10-24,Western,Seattle,86.08,91.31
2020-10-26,Capital Metro,Atlanta,87.34,62.56
2020-10-26,Capital Metro,Baltimore,69.42,66.91
2020-10-26,Capital Metro,Capital,82.46,95.96
2020-10-26,Capital Metro,Greater S Carolina,73.11,86.77
2020-10-26,Capital Metro,Greensboro,79.18,59.05
2020-10-26,Capital Metro,Mid-Carolinas,88.18,76.78
2020-10-26,Capital Metro,Norther Virginia,86.92,96.07
2020-10-26,Capital Metro,Richmond,88.77,89.92
2020-10-26,Eastern,Appalachian,86.71,90.73
2020-10-26,Eastern,Central Pennsylvania,70.61,65.26
2020-10-26,Eastern,Kentuckiana,88.84,95.84
2020-10-26,Eastern,Norther Ohio,83.4,73.57
2020-10-26,Eastern,Ohio Valley,87.91,81.09
2020-10-26,Eastern,Philadelphia Metropo,60.31,53
2020-10-26,Eastern,South Jersey,81.02,86.84
2020-10-26,Eastern,Tennessee,90.1,89.41
2020-10-26,Eastern,Western New York,89.46,94.07
2020-10-26,Eastern,Western Pennsylvania,91.34,98.23
2020-10-26,Great Lakes,Central Illinois,86.93,84.64
2020-10-26,Great Lakes,Chicago,92.78,91.85
2020-10-26,Great Lakes,Detroit,77.24,82.8
2020-10-26,Great Lakes,Gateway,88.85,93.9
2020-10-26,Great Lakes,Greater Indiana,94.54,94.64
2020-10-26,Great Lakes,Greater Michigan,88.91,94.21
2020-10-26,Great Lakes,Lakeland,90.66,95.4
2020-10-26,Northeast,Albany,92.5,93.53
2020-10-26,Northeast,Caribbean,95.19,97.28
2020-10-26,Northeast,Connecticut Valley,91.87,96.13
2020-10-26,Northeast,Greater Boston,93.33,92.27
2020-10-26,Northeast,Long Island,88.89,93.57
2020-10-26,Northeast,New York,91.63,97.28
2020-10-26,Northeast,Northern New England,92.19,95.49
2020-10-26,Northeast,Northern New Jersey,93.04,89.91
2020-10-26,Northeast,Triboro,92.15,90.13
2020-10-26,Northeast,Westchester,89.36,86.06
2020-10-26,Pacific,Bay-Valley,94.85,97.68
2020-10-26,Pacific,Honolulu,92.98,45.13
2020-10-26,Pacific,Los Angeles,93.73,95.45
2020-10-26,Pacific,Sacramento,95.82,94.04
2020-10-26,Pacific,San Diego,94.89,96.96
2020-10-26,Pacific,San Francisco,95.4,97.64
2020-10-26,Pacific,Santa Ana,95.35,97.33
2020-10-26,Pacific,Sierra Coastal,93.05,97.51
2020-10-26,Southern,Alabama,86.62,82.34
2020-10-26,Southern,Arkansas,94.69,91.63
2020-10-26,Southern,Dallas,91.84,96.42
2020-10-26,Southern,Ft. Worth,90.49,88.43
2020-10-26,Southern,Gulf Atlantic,82.59,85.42
2020-10-26,Southern,Houston,90.19,96
2020-10-26,Southern,Louisiana,92.34,89.46
2020-10-26,Southern,Mississippi,82.19,85.89
2020-10-26,Southern,Oklahoma,94.38,96.69
2020-10-26,Southern,Rio Grande,92.86,90.75
2020-10-26,Southern,South Florida,88.26,92.27
2020-10-26,Southern,Suncoast,91.8,92.18
2020-10-26,Western,Alaska,86.6,86.32
2020-10-26,Western,Arizona,92.18,87.91
2020-10-26,Western,Central Plains,94.69,93.42
2020-10-26,Western,Colorado/Wyoming,75.49,90.51
2020-10-26,Western,Dakotas,92.27,95.75
2020-10-26,Western,Hawkeye,92.61,92.65
2020-10-26,Western,Mid-Americas,91.5,92.41
2020-10-26,Western,Nevada Sierra,92.84,93.99
2020-10-26,Western,Northland,88.88,91.64
2020-10-26,Western,Portland,92.74,94.12
2020-10-26,Western,Salt Lake City,94.05,93.19
2020-10-26,Western,Seattle,91.97,95.92
2020-10-27,Capital Metro,Atlanta,53.78,77.18
2020-10-27,Capital Metro,Baltimore,31.86,70.54
2020-10-27,Capital Metro,Capital,59.02,95.8
2020-10-27,Capital Metro,Greater S Carolina,41.8,91.24
2020-10-27,Capital Metro,Greensboro,47.78,61.12
2020-10-27,Capital Metro,Mid-Carolinas,64.71,71.61
