Date,Area,District,First_class,Marketing_mail
2020-10-31,Western,Hawkeye,92.52,93.55
2020-10-31,Western,Mid-Americas,88.54,85.51
2020-10-31,Western,Nevada Sierra,93.14,95.37
2020-10-31,Western,Northland,86.33,90.73
2020-10-31,Western,Portland,90.36,96.64
2020-10-31,Western,Salt Lake City,89.52,95.1
2020-10-31,Western,Seattle,87.6,92.25
2020-11-02,Capital Metro,Atlanta,87.21,68.45
2020-11-02,Capital Metro,Baltimore,79.65,74.7
2020-11-02,Capital Metro,Capital,82.14,95.14
2020-11-02,Capital Metro,Greater S Carolina,76.58,75.55
2020-11-02,Capital Metro,Greensboro,78.47,53.92
2020-11-02,Capital Metro,Mid-Carolinas,86.65,38.96
2020-11-02,Capital Metro,Norther Virginia,90.62,96.67
2020-11-02,Capital Metro,Richmond,89.98,78.11
2020-11-02,Eastern,Appalachian,89.79,83.19
2020-11-02,Eastern,Central Pennsylvania,69.98,43.63
2020-11-02,Eastern,Kentuckiana,93.23,92.97
2020-11-02,Eastern,Norther Ohio,79.43,65.85
2020-11-02,Eastern,Ohio Valley,89.43,90.84
2020-11-02,Eastern,Philadelphia Metropo,67.71,55.31
2020-11-02,Eastern,South Jersey,86.71,92.58
2020-11-02,Eastern,Tennessee,91.16,86.55
2020-11-02,Eastern,Western New York,94.07,94.53
2020-11-02,Eastern,Western Pennsylvania,92.22,95.79
2020-11-02,Great Lakes,Central Illinois,87.79,89.37
2020-11-02,Great Lakes,Chicago,86.13,89.73
2020-11-02,Great Lakes,Detroit,76.81,46.86
2020-11-02,Great Lakes,Gateway,90.87,90.77
2020-11-02,Great Lakes,Greater Indiana,93.5,92.01
2020-11-02,Great Lakes,Greater Michigan,85.28,85.39
2020-11-02,Great Lakes,Lakeland,89.53,92.1
2020-11-02,Northeast,Albany,93.85,96.37
2020-11-02,Northeast,Caribbean,93.9,85.6
2020-11-02,Northeast,Connecticut Valley,92.37,95.4
2020-11-02,Northeast,Greater Boston,92.43,89.44
2020-11-02,Northeast,Long Island,90.77,87.69
2020-11-02,Northeast,New York,91.82,98.66
2020-11-02,Northeast,Northern New England,91.77,86.14
2020-11-02,Northeast,Northern New Jersey,92.91,93.19
2020-11-02,Northeast,Triboro,93.96,93.73
2020-11-02,Northeast,Westchester,91.44,86.74
2020-11-02,Pacific,Bay-Valley,94.09,97.78
2020-11-02,Pacific,Honolulu,95.76,76.34
2020-11-02,Pacific,Los Angeles,96.32,95
2020-11-02,Pacific,Sacramento,92.74,92.61
2020-11-02,Pacific,San Diego,95.03,94.65
2020-11-02,Pacific,San Francisco,95.22,96.07
2020-11-02,Pacific,Santa Ana,94.94,94.53
2020-11-02,Pacific,Sierra Coastal,93.62,97.05
2020-11-02,Southern,Alabama,88.22,86.8
2020-11-02,Southern,Arkansas,92.59,93.72
2020-11-02,Southern,Dallas,90.72,93.95
2020-11-02,Southern,Ft. Worth,93.89,94.47
2020-11-02,Southern,Gulf Atlantic,87.76,75.07
2020-11-02,Southern,Houston,92.89,95.89
2020-11-02,Southern,Louisiana,88.17,88.33
2020-11-02,Southern,Mississippi,85.38,76.44
2020-11-02,Southern,Oklahoma,94.66,92.82
2020-11-02,Southern,Rio Grande,93,95.96
2020-11-02,Southern,South Florida,87.39,75.66
2020-11-02,Southern,Suncoast,93.63,86.21
2020-11-02,Western,Alaska,82.33,53.55
2020-11-02,Western,Arizona,92.15,87.3
2020-11-02,Western,Central Plains,91.36,93.35
2020-11-02,Western,Colorado/Wyoming,74.7,68
2020-11-02,Western,Dakotas,92.41,90.9
2020-11-02,Western,Hawkeye,92.53,94.7
2020-11-02,Western,Mid-Americas,90.08,80.78
2020-11-02,Western,Nevada Sierra,93.17,92.32
2020-11-02,Western,Northland,90.5,89.89
2020-11-02,Western,Portland,92,94.55
2020-11-02,Western,Salt Lake City,93.46,93.93
2020-11-02,Western,Seattle,92.1,93.66
2020-11-03,Capital Metro,Atlanta,65.13,80.36
2020-11-03,Capital Metro,Baltimore,61.65,83.28
2020-11-03,Capital Metro,Capital,73.65,95.21
2020-11-03,Capital Metro,Greater S Carolina,65.58,87.36
2020-11-03,Capital Metro,Greensboro,67.84,66.3
2020-11-03,Capital Metro,Mid-Carolinas,78.03,70.24
2020-11-03,Capital Metro,Norther Virginia,84.11,94.23
2020-11-03,Capital Metro,Richmond,80.63,89.57
2020-11-03,Eastern,Appalachian,81.66,93.79
2020-11-03,Eastern,Central Pennsylvania,56.86,27.84
2020-11-03,Eastern,Kentuckiana,83.57,95.29
2020-11-03,Eastern,Norther Ohio,62.71,79.18
2020-11-03,Eastern,Ohio Valley,71.96,93.1
2020-11-03,Eastern,Philadelphia Metropo,42.91,55.38
2020-11-03,Eastern,South Jersey,77.39,96.09
2020-11-03,Eastern,Tennessee,84.4,91.45
2020-11-03,Eastern,Western New York,89.96,97.32
2020-11-03,Eastern,Western Pennsylvania,85.49,95.79
2020-11-03,Great Lakes,Central Illinois,77.46,89.37
2020-11-03,Great Lakes,Chicago,59.76,89.2
2020-11-03,Great Lakes,Detroit,60.62,65.18
2020-11-03,Great Lakes,Gateway,79.33,89.89
2020-11-03,Great Lakes,Greater Indiana,81.4,90.92
2020-11-03,Great Lakes,Greater Michigan,78.21,88.17
2020-11-03,Great Lakes,Lakeland,78.18,93.8
2020-11-03,Northeast,Albany,91.84,96.06
2020-11-03,Northeast,Caribbean,84.08,72.7
2020-11-03,Northeast,Connecticut Valley,89.11,96.38
2020-11-03,Northeast,Greater Boston,87.8,93.73
2020-11-03,Northeast,Long Island,84.85,97.12
2020-11-03,Northeast,New York,87.94,98.12
2020-11-03,Northeast,Northern New England,87.67,96.49
2020-11-03,Northeast,Northern New Jersey,83.03,93.84
2020-11-03,Northeast,Triboro,85.87,94.98
2020-11-03,Northeast,Westchester,90.76,95.69
2020-11-03,Pacific,Bay-Valley,89.42,97.67
2020-11-03,Pacific,Honolulu,89.41,88.75
2020-11-03,Pacific,Los Angeles,70.41,95.41
2020-11-03,Pacific,Sacramento,79.29,95.35
2020-11-03,Pacific,San Diego,84.61,96.87
2020-11-03,Pacific,San Francisco,86.83,97.3
2020-11-03,Pacific,Santa Ana,79.07,97.31
2020-11-03,Pacific,Sierra Coastal,83.11,96.97
2020-11-03,Southern,Alabama,80.48,92.15
2020-11-03,Southern,Arkansas,85.56,92.54
2020-11-03,Southern,Dallas,78.01,93.83
2020-11-03,Southern,Ft. Worth,83.89,95.32
2020-11-03,Southern,Gulf Atlantic,72.64,87.4
2020-11-03,Southern,Houston,78.25,97.03
2020-11-03,Southern,Louisiana,79.75,84.06
2020-11-03,Southern,Mississippi,82.59,90.22
2020-11-03,Southern,Oklahoma,89.28,95.42
2020-11-03,Southern,Rio Grande,83.02,93.55
2020-11-03,Southern,South Florida,67.08,86.04
2020-11-03,Southern,Suncoast,75.87,94.46
2020-11-03,Western,Alaska,82.34,91.93
2020-11-03,Western,Arizona,77.15,88.33
2020-11-03,Western,Central Plains,87.37,94.21
2020-11-03,Western,Colorado/Wyoming,62.13,68.49
2020-11-03,Western,Dakotas,88.36,84.65
2020-11-03,Western,Hawkeye,87.56,95.24
2020-11-03,Western,Mid-Americas,79.48,87.21
2020-11-03,Western,Nevada Sierra,83.31,94.59
2020-11-03,Western,Northland,82.97,93.46
2020-11-03,Western,Portland,83.94,95.41
2020-11-03,Western,Salt Lake City,80.26,92.23
2020-11-03,Western,Seattle,83.54,95.2
