Date,Area,District,Inbound,Outbound,Outbound_non
2020-10-29,Nation,NA,95.01,94.67,75.61
2020-10-24,Pacific,Los Angeles,98.59,79.89,99.89
2020-10-24,Pacific,Sacramento,96.75,81.39,97.92
2020-10-24,Pacific,San Diego,98.85,99.7,98.3
2020-10-24,Pacific,San Francisco,98.32,40.48,98.31
2020-10-24,Pacific,Santa Ana,99.02,96.62,99.97
2020-10-24,Pacific,Sierra Coastal,98.49,99.29,99.99
2020-10-24,Southern,Alabama,65.65,34.55,51.72
2020-10-24,Southern,Arkansas,91.46,45.16,68
2020-10-24,Southern,Dallas,94.59,69.57,36.1
2020-10-24,Southern,Ft. Worth,90.04,97.38,31.22
2020-10-24,Southern,Gulf Atlantic,90.81,3.61,99.1
2020-10-24,Southern,Houston,84.64,19.51,5.63
2020-10-24,Southern,Louisiana,77.18,32,8.05
2020-10-24,Southern,Mississippi,85.5,36.84,9.85
2020-10-24,Southern,Oklahoma,75.32,70,99.94
2020-10-24,Southern,Rio Grande,91.09,55.56,99.55
2020-10-24,Southern,South Florida,92.91,22.63,51.99
2020-10-24,Southern,Suncoast,96.63,60.56,85.74
2020-10-24,Western,Alaska,79.59,36,64.41
2020-10-24,Western,Arizona,97.56,79.09,99.86
2020-10-24,Western,Central Plains,96.72,68.57,99.99
2020-10-24,Western,Colorado/W yoming,69.94,66.44,91.9
2020-10-24,Western,Dakotas,96.23,29.63,99.75
2020-10-24,Western,Hawkeye,95.25,47.73,99.46
2020-10-24,Western,Mid- Americas,93.81,69.09,99.99
2020-10-24,Western,Nevada Sierra,97.86,67.93,99.78
2020-10-24,Western,Northland,97.3,15.76,96.61
2020-10-24,Western,Portland,92.49,15.38,62.2
2020-10-24,Western,Salt Lake City,98.78,96.65,94.79
2020-10-24,Western,Seattle,97.75,6.1,32.89
2020-10-26,Capital Metro,Atlanta,89.44,1.66,42.25
2020-10-26,Capital Metro,Baltimore,91.27,90.56,38.16
2020-10-26,Capital Metro,Capital,93.21,99.74,89.46
2020-10-26,Capital Metro,Greater S Carolina,87.1,56.44,83.47
2020-10-29,Nation,NA,95.01,94.67,75.61
2020-10-26,Capital Metro,Greensboro,82.71,97.49,74.9
2020-10-26,Capital Metro,Mid- Carolinas,86.12,97.46,35.1
2020-10-26,Capital Metro,Norther Virginia,93.5,85.62,77.21
2020-10-26,Capital Metro,Richmond,91.18,34.64,96.83
2020-10-26,Eastern,Appalachian,74.89,66.67,96.71
2020-10-26,Eastern,Central Pennsylvani a,78.76,7.65,1.61
2020-10-26,Eastern,Kentuckiana,64.55,78.38,99.77
2020-10-26,Eastern,Norther Ohio,92.64,35.79,40.15
2020-10-26,Eastern,Ohio Valley,94.8,22.15,52.91
2020-10-26,Eastern,Philadelphia Metropo,93.03,95.05,0.07
2020-10-26,Eastern,South Jersey,90.88,99.96,3.25
2020-10-26,Eastern,Tennessee,92.82,79.06,96.77
2020-10-26,Eastern,Western New York,96.6,95.74,84.23
2020-10-26,Eastern,Western Pennsylvani a,97.26,25.27,83.43
2020-10-26,Great Lakes,Central Illinois,94.36,78.17,99.8
2020-10-26,Great Lakes,Chicago,87.63,76.47,79.3
2020-10-26,Great Lakes,Detroit,73.6,47.37,24.35
2020-10-26,Great Lakes,Gateway,93.18,98.79,99.9
2020-10-26,Great Lakes,Greater Indiana,79.72,92.38,94.74
2020-10-26,Great Lakes,Greater Michigan,87.29,7.26,99.88
2020-10-26,Great Lakes,Lakeland,87.44,12.82,90.89
2020-10-26,Northeast,Albany,96.32,93.33,64.83
2020-10-26,Northeast,Caribbean,98.67,32.26,98.67
2020-10-26,Northeast,Connecticut Valley,94.79,98.08,76.79
2020-10-26,Northeast,Greater Boston,96.96,88.06,78.3
2020-10-26,Northeast,Long Island,96.02,90.48,77.86
2020-10-29,Nation,NA,95.01,94.67,75.61
2020-10-26,Northeast,New York,96.49,94.1,27.3
2020-10-26,Northeast,Northern New England,84.41,91.49,94.4
2020-10-26,Northeast,Northern New Jersey,96.76,97.49,11.17
2020-10-26,Northeast,Triboro,89.13,94.01,14.31
2020-10-26,Northeast,Westchester,94.53,97.14,80.16
2020-10-26,Pacific,Bay-Valley,96.85,43.23,98.01
2020-10-26,Pacific,Honolulu,94.72,63.16,99.49
2020-10-26,Pacific,Los Angeles,96.39,73.38,92.45
2020-10-26,Pacific,Sacramento,97.07,95.69,82.15
2020-10-26,Pacific,San Diego,98.07,81.85,99.34
2020-10-26,Pacific,San Francisco,97.83,77.97,99.54
2020-10-26,Pacific,Santa Ana,97.65,98.78,99.34
2020-10-26,Pacific,Sierra Coastal,97.96,87.07,94.81
2020-10-26,Southern,Alabama,74.19,58.06,85.35
2020-10-26,Southern,Arkansas,91.95,87.5,98.28
2020-10-26,Southern,Dallas,91.98,84.76,85.98
2020-10-26,Southern,Ft. Worth,88.68,15.02,47.56
2020-10-26,Southern,Gulf Atlantic,85.83,10.24,27.37
2020-10-26,Southern,Houston,90.23,84.27,97.45
2020-10-26,Southern,Louisiana,74.03,55.88,98.33
2020-10-26,Southern,Mississippi,73.93,67.44,82.13
2020-10-26,Southern,Oklahoma,77.92,89.61,99.74
2020-10-26,Southern,Rio Grande,87.74,85.09,92.88
2020-10-26,Southern,South Florida,90.4,80,87.23
2020-10-26,Southern,Suncoast,94.38,72.16,92.89
2020-10-26,Western,Alaska,82.54,62.5,66.67
2020-10-26,Western,Arizona,97.9,83.69,92.14
2020-10-26,Western,Central Plains,90.81,28.49,99.69
2020-10-26,Western,Colorado/W yoming,61.45,48.01,67.95
2020-10-26,Western,Dakotas,94.98,55,93.61
2020-10-26,Western,Hawkeye,97.57,81.36,99.83
2020-10-26,Western,Mid- Americas,86.68,81.65,99.88
2020-10-29,Nation,NA,95.01,94.67,75.61
2020-10-26,Western,Nevada Sierra,87.15,60.98,98.58
2020-10-26,Western,Northland,92.23,85.44,97.58
2020-10-26,Western,Portland,97.24,63.41,61.84
2020-10-26,Western,Salt Lake City,97.83,89.11,94.56
2020-10-26,Western,Seattle,96.26,12.79,97.17
2020-10-27,Capital Metro,Atlanta,39.68,0.36,9.26
2020-10-27,Capital Metro,Baltimore,85.04,66.1,2.62
2020-10-27,Capital Metro,Capital,88.95,99.95,11.05
2020-10-27,Capital Metro,Greater S Carolina,79.98,64.15,10.91
2020-10-27,Capital Metro,Greensboro,75.5,98.44,42.92
2020-10-27,Capital Metro,Mid- Carolinas,70.49,88.68,77.13
2020-10-27,Capital Metro,Norther Virginia,60.74,60.71,83.14
2020-10-27,Capital Metro,Richmond,82.57,86.02,88.61
2020-10-27,Eastern,Appalachian,49.45,36.23,44.44
2020-10-27,Eastern,Central Pennsylvani a,56.16,21.86,1.79
2020-10-27,Eastern,Kentuckiana,55.59,8.51,86.97
2020-10-27,Eastern,Norther Ohio,91.43,3.8,0.34
2020-10-27,Eastern,Ohio Valley,94.81,34.43,26.86
2020-10-27,Eastern,Philadelphia Metropo,96.06,85.74,0
2020-10-27,Eastern,South Jersey,96.71,99.76,0.12
2020-10-27,Eastern,Tennessee,91.97,55.56,72.33
2020-10-27,Eastern,Western New York,98.19,94.23,77.42
2020-10-27,Eastern,Western Pennsylvani a,97.25,97.41,95.14
2020-10-27,Great Lakes,Central Illinois,85.02,7.26,98.67
2020-10-27,Great Lakes,Chicago,90.04,64.44,16.53
2020-10-27,Great Lakes,Detroit,48.63,32.14,0.8
2020-10-27,Great Lakes,Gateway,80,38.03,22.88
2020-10-29,Nation,NA,95.01,94.67,75.61
2020-10-27,Great Lakes,Greater Indiana,40.64,62.5,14.42
2020-10-27,Great Lakes,Greater Michigan,55.01,0.86,0.1
2020-10-27,Great Lakes,Lakeland,52.54,82.5,3.04
2020-10-27,Northeast,Albany,82.33,50,47.37
2020-10-27,Northeast,Caribbean,99.57,26.56,66.67
2020-10-27,Northeast,Connecticut Valley,75.25,56,8
2020-10-27,Northeast,Greater Boston,93.7,91.19,92.18
2020-10-27,Northeast,Long Island,97.16,80.56,5.75
2020-10-27,Northeast,New York,94.94,19.35,98.24
2020-10-27,Northeast,Northern New England,54.29,66.67,1.99
2020-10-27,Northeast,Northern New Jersey,97.51,99.96,0.62
2020-10-27,Northeast,Triboro,95.52,32,86.55
2020-10-27,Northeast,Westchester,70.43,83.33,81.25
2020-10-27,Pacific,Bay-Valley,99.08,51.72,94.31
2020-10-27,Pacific,Honolulu,96.43,91.3,97
2020-10-27,Pacific,Los Angeles,99.22,16.4,73.42
2020-10-27,Pacific,Sacramento,97.93,42.86,34.68
2020-10-27,Pacific,San Diego,99.13,10.86,98.05
2020-10-27,Pacific,San Francisco,99.33,84.62,96.37
2020-10-27,Pacific,Santa Ana,99.14,24.44,96.49
2020-10-27,Pacific,Sierra Coastal,98.72,98.55,93.36
2020-10-27,Southern,Alabama,50.85,42.86,3.86
2020-10-27,Southern,Arkansas,66.02,80,1.52
2020-10-27,Southern,Dallas,85.19,61.54,0.87
2020-10-27,Southern,Ft. Worth,73.74,27.45,2.52
2020-10-27,Southern,Gulf Atlantic,84.8,14.93,87.22
2020-10-27,Southern,Houston,74.95,70,9.33
2020-10-27,Southern,Louisiana,63.42,79.17,11.02
2020-10-27,Southern,Mississippi,83.95,100,3.6
2020-10-27,Southern,Oklahoma,60.34,27.27,4.62
2020-10-27,Southern,Rio Grande,84.46,45.9,5.75
2020-10-29,Nation,NA,95.01,94.67,75.61
2020-10-27,Southern,South Florida,94.5,83.56,95.13
2020-10-27,Southern,Suncoast,97.13,90.93,8.59
2020-10-27,Western,Alaska,81.23,20,49.43
2020-10-27,Western,Arizona,98.35,18.66,46.18
2020-10-27,Western,Central Plains,95.62,52.94,96.92
2020-10-27,Western,Colorado/W yoming,77.12,1.32,1.67
2020-10-27,Western,Dakotas,92.66,20,2.77
2020-10-27,Western,Hawkeye,97.7,72.73,0.09
2020-10-27,Western,Mid- Americas,95.01,41.18,0.08
2020-10-27,Western,Nevada Sierra,97.69,25,33.07
2020-10-27,Western,Northland,95.48,86.87,82.91
2020-10-27,Western,Portland,97.79,6.44,44.36
2020-10-27,Western,Salt Lake City,88.99,8.16,47.13
2020-10-27,Western,Seattle,98.09,6.57,28.47
2020-10-28,Capital Metro,Atlanta,94.97,3.76,21.43
2020-10-28,Capital Metro,Baltimore,94.19,54.75,2.42
2020-10-28,Capital Metro,Capital,96.44,8.42,41.89
2020-10-28,Capital Metro,Greater S Carolina,91.1,8,6.77
2020-10-28,Capital Metro,Greensboro,90.91,66.22,97.46
2020-10-28,Capital Metro,Mid- Carolinas,90.07,56.97,12.39
2020-10-28,Capital Metro,Norther Virginia,97.03,23.75,27.27
2020-10-28,Capital Metro,Richmond,96.9,3.33,6.4
2020-10-28,Eastern,Appalachian,88.78,31.25,22.64
2020-10-28,Eastern,Central Pennsylvani a,83.25,16.1,82.01
2020-10-28,Eastern,Kentuckiana,59.96,46.15,28.41
2020-10-28,Eastern,Norther Ohio,97.63,20,1.41
2020-10-28,Eastern,Ohio Valley,97.97,22.76,87.62
2020-10-28,Eastern,Philadelphia Metropo,96.7,42.64,0.29
2020-10-29,Nation,NA,95.01,94.67,75.61
2020-10-28,Eastern,South Jersey,97.45,98.26,0.18
2020-10-28,Eastern,Tennessee,94.08,58.33,7.41
2020-10-28,Eastern,Western New York,98.53,6.67,1.15
2020-10-28,Eastern,Western Pennsylvani a,98.52,97.67,23.53
2020-10-28,Great Lakes,Central Illinois,96.12,3.06,76.1
2020-10-28,Great Lakes,Chicago,95.89,66.67,42.84
2020-10-28,Great Lakes,Detroit,78.91,63.83,99.89
2020-10-28,Great Lakes,Gateway,95.67,56.04,39.59
2020-10-28,Great Lakes,Greater Indiana,86.16,74.67,92
2020-10-28,Great Lakes,Greater Michigan,95.5,1.82,43.75
2020-10-28,Great Lakes,Lakeland,92.83,14.58,69.47
2020-10-28,Northeast,Albany,98.31,66.67,1.66
2020-10-28,Northeast,Caribbean,99.5,NA,0
2020-10-28,Northeast,Connecticut Valley,98.12,41.18,71.99
2020-10-28,Northeast,Greater Boston,97.73,27.42,28.92
2020-10-28,Northeast,Long Island,99,100,12.5
2020-10-28,Northeast,New York,97.35,83.33,7.32
2020-10-28,Northeast,Northern New England,82.41,3.92,5.37
2020-10-28,Northeast,Northern New Jersey,97.28,99.37,0.06
2020-10-28,Northeast,Triboro,88.14,90.91,2.65
2020-10-28,Northeast,Westchester,97.89,25,16.48
2020-10-28,Pacific,Bay-Valley,99.19,12.5,93.59
2020-10-28,Pacific,Honolulu,98.96,50,92.73
2020-10-28,Pacific,Los Angeles,98.87,16.43,81.18
2020-10-28,Pacific,Sacramento,99.33,85.85,46.83
2020-10-28,Pacific,San Diego,99.32,99.88,98.44
2020-10-28,Pacific,San Francisco,98.9,0,98.58
2020-10-28,Pacific,Santa Ana,99.66,99.15,93.3
2020-10-29,Nation,NA,95.01,94.67,75.61
2020-10-28,Pacific,Sierra Coastal,98.83,99.11,98.93
2020-10-28,Southern,Alabama,71.09,18.75,7.69
2020-10-28,Southern,Arkansas,94.68,0,72.73
2020-10-28,Southern,Dallas,93.87,6.9,27.59
2020-10-28,Southern,Ft. Worth,95.11,0,8.14
2020-10-28,Southern,Gulf Atlantic,93.99,15.89,97.16
2020-10-28,Southern,Houston,95.04,14.29,45.95
2020-10-28,Southern,Louisiana,65.43,100,38.24
2020-10-28,Southern,Mississippi,91.48,50,0
2020-10-28,Southern,Oklahoma,62.99,50,19.44
2020-10-28,Southern,Rio Grande,91.65,4.23,8.6
2020-10-28,Southern,South Florida,94.97,24.49,97.47
2020-10-28,Southern,Suncoast,96.43,89.55,90.26
2020-10-28,Western,Alaska,93.76,50,99.89
2020-10-28,Western,Arizona,98.07,88.64,1.15
2020-10-28,Western,Central Plains,96.49,17.65,51.51
2020-10-28,Western,Colorado/W yoming,78.74,0.4,43.82
2020-10-28,Western,Dakotas,96.6,4.55,74.29
2020-10-28,Western,Hawkeye,98.47,40,0.28
2020-10-28,Western,Mid- Americas,95.63,69.23,3.58
2020-10-28,Western,Nevada Sierra,98.03,18.27,64.1
2020-10-28,Western,Northland,97.08,0.36,62.46
2020-10-28,Western,Portland,98.12,15.09,69.64
2020-10-28,Western,Salt Lake City,98.09,97.61,48.39
2020-10-28,Western,Seattle,98.25,0.62,31.65
2020-10-29,Capital Metro,Atlanta,93.1,2.24,10.35
2020-10-29,Capital Metro,Baltimore,95.63,46.09,8.53
2020-10-29,Capital Metro,Capital,94.93,36.26,87.25
2020-10-29,Capital Metro,Greater S Carolina,77.48,62.22,24.12
2020-10-29,Capital Metro,Greensboro,89.14,88.93,78.99
2020-10-29,Capital Metro,Mid- Carolinas,84.35,14.83,86.12
